bedrooms,bathrooms,square_feet,location,year_built,garage,has_pool,property_type,num_floors,has_basement,price
4,1,3463,Olathe,1993,1,1,Condo,2,1,1062805
5,3,3016,Blue Springs,2019,0,0,Condo,3,1,984235
3,4,3591,Lenexa,1994,1,1,Condo,3,0,1090968
5,2,2017,Overland Park,2009,0,1,House,2,0,947886
5,4,2042,Overland Park,1991,1,1,Condo,2,0,986703
2,2,1481,Leawood,1984,0,0,House,1,1,571062
3,1,618,Lenexa,2006,1,1,Condo,1,1,513772
3,2,709,KC Downtown,1994,1,1,House,1,0,706223
3,3,2060,Blue Springs,2005,0,0,Condo,2,1,735429
5,3,3152,Olathe,1988,1,0,Apartment,2,1,1063518
4,4,1657,Lenexa,2019,0,0,Condo,2,0,781290
3,1,1911,Overland Park,2019,1,1,Condo,3,0,824992
6,3,2467,Leawood,2014,0,1,Apartment,3,0,957234
5,4,1602,Blue Springs,1992,1,0,Apartment,2,1,776432
2,1,854,Olathe,2012,1,1,Condo,1,0,524545
4,1,1237,Blue Springs,2013,0,0,House,1,0,561528
6,4,2642,Leawood,1983,0,1,Apartment,2,1,1039760
6,3,2781,Overland Park,1992,0,1,Apartment,1,1,1073887
2,3,3146,Olathe,1989,1,1,Apartment,2,0,936704
4,4,996,KC Downtown,1980,0,0,Apartment,3,1,777850
5,3,2221,Leawood,1990,1,0,Apartment,1,1,868812
1,4,3294,KC Downtown,1988,0,1,Apartment,3,1,1007156
4,3,1284,Lenexa,2017,0,0,Condo,3,1,725486
2,3,3884,Blue Springs,2002,1,0,Condo,2,0,971921
6,4,2456,Olathe,1992,1,1,Apartment,3,1,1084055
5,4,2666,Overland Park,1984,0,1,House,1,1,1095700
4,3,1610,KC Downtown,2004,0,0,House,2,1,864080
1,4,2766,Overland Park,1989,1,0,House,2,1,881906
1,3,901,Lenexa,1984,1,1,Condo,1,1,557014
3,2,3956,KC Downtown,2001,0,1,Condo,3,1,1180959
3,1,826,Overland Park,2021,1,1,Condo,2,1,659610
2,1,2130,Overland Park,2004,1,1,Condo,2,0,741658
4,3,1835,Lenexa,2016,0,1,Apartment,2,1,799590
4,1,955,Leawood,1999,1,0,Apartment,1,1,553501
6,3,1300,Olathe,2007,0,0,House,1,0,808447
6,4,3134,Lenexa,2000,1,0,House,2,1,1130392
6,2,3992,KC Downtown,1990,0,0,Apartment,2,1,1280790
3,1,2870,KC Downtown,2008,1,0,House,1,1,956019
4,1,2383,Blue Springs,1984,0,1,Condo,3,0,763590
4,4,2186,Overland Park,2016,1,1,House,2,1,973621
1,2,1814,Olathe,1984,1,1,Condo,1,0,643931
3,2,3642,KC Downtown,2012,0,1,House,3,0,1105210
5,2,3147,Leawood,2015,1,0,Condo,3,1,1025849
3,4,3908,Leawood,1987,0,0,House,1,0,1064188
5,1,1645,Lenexa,1985,1,0,Condo,2,1,757166
1,1,2245,KC Downtown,1994,1,1,Apartment,1,0,756439
2,2,1950,Olathe,1994,0,0,Apartment,1,1,684066
4,4,3798,Olathe,1988,1,1,Condo,3,0,1127368
1,4,964,KC Downtown,1984,0,1,Apartment,2,1,648994
4,4,1667,Blue Springs,2005,0,0,House,3,0,752079
6,2,1118,Blue Springs,2002,0,1,Apartment,1,0,677678
2,4,3799,Blue Springs,1995,0,0,Condo,1,1,965502
2,2,2226,KC Downtown,2018,0,0,Apartment,2,0,760404
1,2,3801,Lenexa,2014,1,1,House,1,0,954004
2,2,3176,Olathe,1989,1,1,Condo,1,1,930886
5,3,1944,Lenexa,2006,1,1,Apartment,3,0,881860
2,2,2833,Lenexa,1995,0,0,Apartment,2,0,795074
4,4,2245,Lenexa,2000,0,0,Apartment,1,0,850999
4,3,3445,Leawood,1991,1,0,House,2,0,984421
4,1,1581,KC Downtown,1988,0,0,Apartment,2,0,759175
4,1,2995,Overland Park,1995,0,1,House,3,0,1007933
5,4,2636,KC Downtown,1988,1,1,Condo,3,1,1143813
3,4,1521,Lenexa,2008,0,1,House,1,0,743627
6,4,3568,Leawood,2002,0,0,Apartment,1,0,1118804
1,4,1556,Leawood,2018,1,0,Condo,2,1,620966
4,3,960,KC Downtown,2022,0,0,Apartment,3,0,716413
2,4,1910,Overland Park,2003,0,1,Apartment,1,1,780937
4,2,781,Lenexa,2001,0,1,House,2,0,639928
2,1,2074,Leawood,2010,1,0,Apartment,2,0,626703
6,4,2744,Lenexa,1989,0,1,House,3,1,1132998
6,2,1162,Lenexa,2021,1,0,Condo,1,0,725181
6,4,913,Olathe,2006,0,0,Condo,1,0,776324
2,2,3602,Lenexa,2013,0,1,Condo,1,0,933960
4,3,2668,Blue Springs,2018,1,0,Apartment,3,1,906582
6,1,3452,Olathe,2003,1,0,House,2,0,1087125
5,1,3223,Lenexa,2000,0,1,Apartment,1,0,990578
2,3,1002,Lenexa,1994,1,1,Apartment,3,1,629499
2,2,1747,Overland Park,1996,1,0,House,1,1,698718
4,4,1212,Olathe,1998,1,0,Apartment,1,0,708133
2,2,3790,Olathe,2004,0,1,Condo,3,1,1029601
2,1,2476,Overland Park,2019,0,1,House,1,1,846713
6,3,2213,Blue Springs,2001,0,0,Condo,1,0,848752
4,3,3617,Olathe,2020,0,0,Apartment,2,0,1096337
6,2,1292,Blue Springs,2021,1,1,Apartment,3,0,766670
6,2,2334,Lenexa,1993,1,0,Condo,1,1,911301
4,3,3606,Leawood,2007,0,0,Apartment,2,0,998702
1,1,3519,Leawood,1991,1,1,Apartment,1,1,827056
6,4,2325,KC Downtown,2006,1,0,House,1,0,1058922
5,4,1439,Leawood,2003,1,1,House,2,1,893765
5,2,2750,Leawood,2001,1,1,Condo,1,1,977368
2,3,2980,Overland Park,2018,0,0,Apartment,2,0,897934
5,3,2410,KC Downtown,2020,1,1,Condo,2,0,1062111
2,3,3801,KC Downtown,2018,1,1,Apartment,2,1,1105259
1,1,1352,Overland Park,2015,1,1,House,1,1,599626
4,2,2781,Leawood,2002,1,0,House,3,1,911738
4,2,3828,Leawood,1987,0,1,Apartment,3,0,1060631
4,2,3072,KC Downtown,2007,0,0,House,1,1,1053421
5,1,2058,Leawood,2008,0,1,House,2,1,829966
1,2,1536,KC Downtown,1994,0,1,Apartment,3,1,683494
5,4,1941,Leawood,2018,0,1,House,2,0,928313
